agent;timestep;position;direction;status;given_command
0;0;None;e;waiting;move_forward
0;1;None;e;ready to depart;move_forward
0;2;(25, 6);e;moving;move_left
0;3;(25, 7);e;moving;move_right
1;3;None;w;ready to depart;wait
0;4;(25, 8);e;moving;move_forward
1;4;None;w;ready to depart;wait
0;5;(25, 9);e;moving;move_forward
1;5;None;w;ready to depart;wait
0;6;(24, 9);n;moving;move_forward
1;6;None;w;ready to depart;wait
0;7;(24, 10);e;moving;move_forward
1;7;None;w;ready to depart;wait
0;8;(24, 11);e;moving;move_forward
1;8;None;w;ready to depart;wait
0;9;(24, 12);e;moving;wait
1;9;None;w;ready to depart;wait
0;10;(24, 12);e;stopped;move_forward
1;10;None;w;ready to depart;wait
0;11;(24, 13);e;moving;move_forward
1;11;None;w;ready to depart;wait
0;12;(24, 14);e;moving;move_forward
1;12;None;w;ready to depart;wait
0;13;(24, 15);e;moving;move_forward
1;13;None;w;ready to depart;wait
0;14;(24, 16);e;moving;move_right
1;14;None;w;ready to depart;wait
0;15;(24, 17);e;moving;move_left
1;15;None;w;ready to depart;move_forward
0;16;(24, 18);e;moving;wait
1;16;(24, 20);w;moving;move_forward
0;17;(24, 18);e;stopped;wait
1;17;(24, 19);w;moving;move_forward
0;18;(24, 18);e;stopped;wait
1;18;(24, 19);w;stopped;move_forward
0;19;(24, 18);e;stopped;wait
1;19;(24, 19);w;stopped;move_forward
0;20;(24, 18);e;stopped;wait
1;20;(24, 19);w;stopped;move_forward
0;21;(24, 18);e;stopped;wait
1;21;(24, 19);w;stopped;move_forward
0;22;(24, 18);e;stopped;wait
1;22;(24, 19);w;stopped;move_forward
0;23;(24, 18);e;stopped;wait
1;23;(24, 19);w;stopped;move_forward
0;24;(24, 18);e;stopped;wait
1;24;(24, 19);w;stopped;move_forward
0;25;(24, 18);e;stopped;wait
1;25;(24, 19);w;stopped;move_forward
0;26;(24, 18);e;stopped;wait
1;26;(24, 19);w;stopped;move_forward
0;27;(24, 18);e;stopped;wait
1;27;(24, 19);w;stopped;move_forward
0;28;(24, 18);e;stopped;move_forward
1;28;(24, 19);w;stopped;move_forward
